,efficiency,emission_factor,max_power,min_power,node,simulation,technology,unit_operator
WILHELMSHAVEN A,0.373,0.335,770,310,node0,germany_un_base_case_2019,hard coal,UNIPER
STAUDINGER 5,0.412,0.335,510,210,node0,germany_un_base_case_2019,hard coal,UNIPER
SCHOLVEN C,0.356,0.335,370,150,node0,germany_un_base_case_2019,hard coal,UNIPER
SCHOLVEN B,0.347,0.335,370,150,node0,germany_un_base_case_2019,hard coal,UNIPER
KIEL A,0.356,0.335,354,150,node0,germany_un_base_case_2019,hard coal,UNIPER
FERNWAERMEKRAFTWERK BUER,0.398,0.335,82,33,node0,germany_un_base_case_2019,hard coal,UNIPER
IRSCHING 5,0.597,0.201,860,350,node0,germany_un_base_case_2019,combined cycle gas turbine,UNIPER
IRSCHING 4,0.59,0.201,565,230,node0,germany_un_base_case_2019,combined cycle gas turbine,UNIPER
HKW JENA SUED,0.48,0.201,195,80,node0,germany_un_base_case_2019,combined cycle gas turbine,UNIPER
KIRCHMOESER,0.471,0.201,165,70,node0,germany_un_base_case_2019,combined cycle gas turbine,UNIPER
KW KIRCHLENGERN,0.4,0.201,162,70,node0,germany_un_base_case_2019,combined cycle gas turbine,UNIPER
KW PLATTLING DAIMLER AG,0.522,0.201,98,40,node0,germany_un_base_case_2019,combined cycle gas turbine,UNIPER
KW GRENZACH WYHLEN 1,0.531,0.201,40,16,node0,germany_un_base_case_2019,combined cycle gas turbine,UNIPER
KW STAUDINGER 4,0.317,0.201,622,160,node0,germany_un_base_case_2019,open cycle gas turbine,UNIPER
NUERNBERG FRANKEN 1,0.363,0.201,440,110,node0,germany_un_base_case_2019,open cycle gas turbine,UNIPER
IRSCHING 3,0.308,0.201,440,110,node0,germany_un_base_case_2019,open cycle gas turbine,UNIPER
KW HUNTORF CAES GT,0.31,0.201,321,90,node0,germany_un_base_case_2019,open cycle gas turbine,UNIPER
INGOLSTADT 3,0.308,0.776,400,100,node0,germany_un_base_case_2019,oil,UNIPER
INGOLSTADT 4,0.308,0.776,400,100,node0,germany_un_base_case_2019,oil,UNIPER
MARIENEHE 1,0.35,0.776,60,15,node0,germany_un_base_case_2019,oil,UNIPER
WILHELMSHAVEN GT 1,0.308,0.776,56,14,node0,germany_un_base_case_2019,oil,UNIPER
NUERNBERG FRANKEN I GT 1,0.308,0.776,53,14,node0,germany_un_base_case_2019,oil,UNIPER
FLENSBURG 11,0.388,0.335,38,16,node0,germany_un_base_case_2019,hard coal,STADTWERKE FLENSBURG GMBH
FLENSBURG 09,0.388,0.335,36,15,node0,germany_un_base_case_2019,hard coal,STADTWERKE FLENSBURG GMBH
FLENSBURG 10,0.386,0.335,36,15,node0,germany_un_base_case_2019,hard coal,STADTWERKE FLENSBURG GMBH
HKW FLENSBURG 12,0.51,0.201,73,30,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE FLENSBURG GMBH
HKW HBB RAUBLING,0.46,0.201,21,9,node0,germany_un_base_case_2019,combined cycle gas turbine,ROMAN BAUERNFEIND PAPIERFABRIK
ZOLLING LEININGER 5,0.398,0.335,474,190,node0,germany_un_base_case_2019,hard coal,GDF SUEZ ENERGIE DEUTSCHLAND
BREMEN FARGE,0.356,0.335,350,140,node0,germany_un_base_case_2019,hard coal,GDF SUEZ ENERGIE DEUTSCHLAND
ROEMERBRUCKE 2,0.396,0.335,56,23,node0,germany_un_base_case_2019,hard coal,GDF SUEZ ENERGIE DEUTSCHLAND
ROMERBRUCKE 3,0.42,0.335,35,14,node0,germany_un_base_case_2019,hard coal,GDF SUEZ ENERGIE DEUTSCHLAND
HKW SAARBRUECKEN ROEMERBRUECKE GUD,0.54,0.201,132,60,node0,germany_un_base_case_2019,combined cycle gas turbine,GDF SUEZ ENERGIE DEUTSCHLAND
GUD GERA NORD,0.489,0.201,74,30,node0,germany_un_base_case_2019,combined cycle gas turbine,GDF SUEZ ENERGIE DEUTSCHLAND
GUD BITTERFELD ENVIA,0.505,0.201,114,50,node0,germany_un_base_case_2019,combined cycle gas turbine,ENVIA MITTELDEUTSCHE ENERGIE
WOLFEN ENVIA,0.361,0.201,40,10,node0,germany_un_base_case_2019,open cycle gas turbine,ENVIA MITTELDEUTSCHE ENERGIE
GROSSKAYNA GT 1,0.352,0.776,38,10,node0,germany_un_base_case_2019,oil,ENVIA MITTELDEUTSCHE ENERGIE
GROSSKAYNA GT 2,0.352,0.776,38,10,node0,germany_un_base_case_2019,oil,ENVIA MITTELDEUTSCHE ENERGIE
GROSSKAYNA GT 3,0.352,0.776,38,10,node0,germany_un_base_case_2019,oil,ENVIA MITTELDEUTSCHE ENERGIE
KWK ANLAGE NEUSTADT,0.34,0.201,26,11,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE NEUSTADT
